,EntryTime,Yong,Yunseo
128,2019-05-07 23:30,-34409.00186,0
129,2019-05-08 9:45,303050.964,0
130,2019-05-13 0:00,69996.46774,0
131,2019-05-15 4:45,11092.32727,0
132,2019-05-16 20:30,-50960.46552,0
133,2019-05-17 16:15,-23431.82719,0
134,2019-05-19 15:00,-12278.03435,0
135,2019-05-20 10:00,-30364.73152,0
136,2019-05-23 10:30,-35222.80298,0
137,2019-05-24 9:00,128330.945,0
138,2019-05-29 16:30,-71811.42142,0
139,2019-05-31 1:45,-70805.31674,0
140,2019-05-31 9:00,-46730.59086,0
141,2019-06-02 22:30,-47441.62985,0
142,2019-06-03 18:45,104786.2718,0
143,2019-06-07 18:30,-37664.68838,0
144,2019-06-10 1:00,-49376.97361,0
145,2019-06-11 0:00,-42552.9561,0
146,2019-06-13 2:45,174904.734,0
147,2019-06-17 4:45,5475.403097,0
148,2019-06-18 17:30,215756.6215,0
149,2019-06-22 23:45,-1140.479634,0
150,2019-06-24 9:30,163510.3588,0
151,2019-06-27 6:00,-21063.08416,0
152,2019-06-27 6:30,-17755.04214,0
153,2019-06-27 20:15,50169.27396,0
154,2019-07-03 3:30,-38135.68214,0
155,2019-07-03 12:00,1140.693529,0
156,2019-07-05 11:00,-31405.15165,0
157,2019-07-07 3:30,86183.5157,0
158,2019-07-09 19:15,35571.71702,0
159,2019-07-11 3:30,125045.2007,0
160,2019-07-16 3:30,-50087.63902,0
161,2019-07-17 5:00,-15604.70444,0
162,2019-07-18 3:45,-20901.91142,0
163,2019-07-19 3:45,-1148.267949,0
164,2019-07-21 19:45,-49081.29461,0
165,2019-07-23 2:30,39627.8316,0
166,2019-07-25 12:45,-43700.62312,0
167,2019-07-26 7:15,-14098.79817,0
168,2019-07-27 12:30,-66943.35903,0
169,2019-07-27 23:15,-20547.2971,0
170,2019-07-29 8:45,-21037.5951,0
171,2019-07-31 4:30,234257.3233,0
172,2019-08-04 14:30,238964.377,0
173,2019-08-06 19:45,-66886.36416,0
174,2019-08-07 9:00,-72668.22473,0
175,2019-08-08 0:15,-12763.92773,0
