,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-10,217,229,4052.3784,4097.0,-446.21599999999944,-0.01101121257580484,2017-08-19 19:15:00,2017-08-19 22:15:00,0 days 03:00:00
1,-10,229,230,4095.3612000000003,4059.92,354.4120000000021,0.00865398636877257,2017-08-19 22:15:00,2017-08-19 22:30:00,0 days 00:15:00
2,-10,230,231,4058.296032,4053.38,49.160320000000866,0.0012113537211767555,2017-08-19 22:30:00,2017-08-19 22:45:00,0 days 00:15:00
3,-10,231,232,4051.7586480000004,4066.0,-142.41351999999551,-0.0035148569392278173,2017-08-19 22:45:00,2017-08-19 23:00:00,0 days 00:15:00
4,-10,232,251,4064.3736000000004,4086.29,-219.16399999999612,-0.005392319249391653,2017-08-19 23:00:00,2017-08-20 03:45:00,0 days 04:45:00
5,-10,251,252,4084.6554840000003,4073.47,111.85484000000542,0.00273841552704146,2017-08-20 03:45:00,2017-08-20 04:00:00,0 days 00:15:00
6,-10,252,253,4071.840612,4089.01,-171.69388000000254,-0.004216615932706391,2017-08-20 04:00:00,2017-08-20 04:15:00,0 days 00:15:00
7,-10,253,254,4087.3743960000006,4088.71,-13.35603999999421,-0.00032676331321801477,2017-08-20 04:15:00,2017-08-20 04:30:00,0 days 00:15:00
8,-10,254,255,4087.074516,4076.12,109.5451600000024,0.002680282915595411,2017-08-20 04:30:00,2017-08-20 04:45:00,0 days 00:15:00
9,-10,255,256,4074.489552,4088.71,-142.20448000000033,-0.003490117674499915,2017-08-20 04:45:00,2017-08-20 05:00:00,0 days 00:15:00
10,-10,256,257,4087.074516,4103.92,-168.45483999999942,-0.004121648365855268,2017-08-20 05:00:00,2017-08-20 05:15:00,0 days 00:15:00
11,-10,257,258,4102.278432,4062.39,398.88432000000194,0.009723482367469005,2017-08-20 05:15:00,2017-08-20 05:30:00,0 days 00:15:00
12,-10,258,263,4060.765044,4141.51,-807.44956,-0.019884173333127197,2017-08-20 05:30:00,2017-08-20 06:45:00,0 days 01:15:00
13,-10,263,268,4139.853396,4120.78,190.73396000000685,0.004607263633642167,2017-08-20 06:45:00,2017-08-20 08:00:00,0 days 01:15:00
14,-10,268,269,4119.1316879999995,4139.5,-203.68312000000515,-0.004944807193064005,2017-08-20 08:00:00,2017-08-20 08:15:00,0 days 00:15:00
15,-10,269,270,4137.8442000000005,4139.98,-21.35799999999108,-0.0005161624983365254,2017-08-20 08:15:00,2017-08-20 08:30:00,0 days 00:15:00
16,-10,270,271,4138.324008,4139.98,-16.559919999999693,-0.0004001600640255454,2017-08-20 08:30:00,2017-08-20 08:45:00,0 days 00:15:00
17,-10,271,272,4138.324008,4120.98,173.4400800000003,0.00419107057989454,2017-08-20 08:45:00,2017-08-20 09:00:00,0 days 00:15:00
18,-10,272,338,4119.3316079999995,4111.51,78.21607999999287,0.0018987565809970297,2017-08-20 09:00:00,2017-08-21 01:30:00,0 days 16:30:00
19,-10,338,339,4109.865396,4114.4,-45.3460399999949,-0.0011033461106568776,2017-08-21 01:30:00,2017-08-21 01:45:00,0 days 00:15:00
20,-10,339,407,4112.75424,4075.0,377.5424000000021,0.009179794803396812,2017-08-21 01:45:00,2017-08-21 18:45:00,0 days 17:00:00
21,-10,407,408,4073.3700000000003,4066.0,73.70000000000346,0.0018093126821281391,2017-08-21 18:45:00,2017-08-21 19:00:00,0 days 00:15:00
22,-10,408,409,4064.3736000000004,4075.0,-106.26399999999649,-0.0026145234286532038,2017-08-21 19:00:00,2017-08-21 19:15:00,0 days 00:15:00
