,EntryTime,Yong,Yunseo,Seoho
0,2017-08-19 19:15:00,-446.2159999999994,0.0,0.0
1,2017-08-19 22:15:00,354.4120000000021,0.0,0.0
2,2017-08-19 22:30:00,49.16032000000087,0.0,0.0
3,2017-08-19 22:45:00,-142.41351999999551,0.0,0.0
4,2017-08-19 23:00:00,-219.1639999999961,0.0,0.0
5,2017-08-20 03:45:00,111.85484000000542,0.0,0.0
6,2017-08-20 04:00:00,-171.69388000000254,0.0,0.0
7,2017-08-20 04:15:00,-13.35603999999421,0.0,0.0
8,2017-08-20 04:30:00,109.5451600000024,0.0,0.0
9,2017-08-20 04:45:00,-142.20448000000033,0.0,0.0
10,2017-08-20 05:00:00,-168.45483999999942,0.0,0.0
11,2017-08-20 05:15:00,398.88432000000194,0.0,0.0
12,2017-08-20 05:30:00,-807.44956,0.0,0.0
13,2017-08-20 06:45:00,190.73396000000685,0.0,0.0
14,2017-08-20 08:00:00,-203.68312000000515,0.0,0.0
15,2017-08-20 08:15:00,-21.35799999999108,0.0,0.0
16,2017-08-20 08:30:00,-16.559919999999693,0.0,0.0
17,2017-08-20 08:45:00,173.4400800000003,0.0,0.0
18,2017-08-20 09:00:00,78.21607999999287,0.0,0.0
19,2017-08-21 01:30:00,-45.3460399999949,0.0,0.0
20,2017-08-21 01:45:00,377.5424000000021,0.0,0.0
21,2017-08-21 18:45:00,73.70000000000346,0.0,0.0
22,2017-08-21 19:00:00,-106.26399999999649,0.0,0.0
23,2017-08-21 19:15:00,-95.5999999999949,0.0,0.0
24,2017-08-21 19:30:00,-68.03171999999904,0.0,0.0
25,2017-08-21 19:45:00,234.64760000000297,0.0,0.0
26,2017-08-21 20:00:00,33.7480000000005,0.0,0.0
27,2017-08-21 20:15:00,503.8680000000022,0.0,0.0
28,2017-08-22 01:00:00,-156.02395999999771,0.0,0.0
29,2017-08-22 02:00:00,23.72003999999833,0.0,0.0
30,2017-08-22 02:15:00,-5.864039999992201,0.0,0.0
31,2017-08-22 02:30:00,232.34003999999916,0.0,0.0
32,2017-08-22 02:45:00,-90.16059999999923,0.0,0.0
33,2017-08-22 03:00:00,158.10972000000675,0.0,0.0
34,2017-08-22 03:15:00,-75.92063999999937,0.0,0.0
35,2017-08-22 03:30:00,-314.4446400000015,0.0,0.0
36,2017-08-22 03:45:00,-106.96403999999347,0.0,0.0
37,2017-08-22 05:15:00,-322.1003999999993,0.0,0.0
38,2017-08-22 06:45:00,149.77719999999863,0.0,0.0
39,2017-08-22 07:00:00,13.943599999997788,0.0,0.0
40,2017-08-22 07:15:00,4019.945640000001,0.0,0.0
41,2017-08-22 16:15:00,-615.1522399999976,0.0,0.0
42,2017-08-22 17:00:00,156.70768000000407,0.0,0.0
43,2017-08-22 17:15:00,-106.22355999999854,0.0,0.0
44,2017-08-22 17:30:00,345.44000000000324,0.0,0.0
45,2017-08-22 17:45:00,-416.81575999999495,0.0,0.0
46,2017-08-22 18:00:00,-641.2764800000014,0.0,0.0
47,2017-08-22 18:15:00,-142.32692000000043,0.0,0.0
48,2017-08-22 18:30:00,-88.87768000000051,0.0,0.0
49,2017-08-22 18:45:00,-293.50703999999496,0.0,0.0
50,2017-08-22 19:00:00,768.5817600000019,0.0,0.0
51,2017-08-22 19:15:00,-693.1045600000016,0.0,0.0
52,2017-08-22 19:30:00,-566.4756799999986,0.0,0.0
53,2017-08-22 22:00:00,-1832.8010399999996,0.0,0.0
6868,2017-08-23 18:15:00,0.0,0.0,-172.82858799998212
6867,2017-08-23 19:15:00,0.0,0.0,-1904.779487999995
6869,2017-08-25 08:15:00,0.0,0.0,-1950.86141999996
54,2017-08-28 16:45:00,-86.8196799999896,0.0,0.0
55,2017-08-28 17:00:00,201.95240000000013,0.0,0.0
56,2017-08-28 17:30:00,-266.9599999999991,0.0,0.0
57,2017-08-28 17:45:00,-2191.5599999999995,0.0,0.0
6871,2017-08-29 22:45:00,0.0,0.0,-1705.2423999999892
6870,2017-08-29 23:30:00,0.0,0.0,-1110.2359999999844
58,2017-09-03 03:45:00,-234.78000000000063,0.0,0.0
59,2017-09-03 09:15:00,158.53332000000592,0.0,0.0
60,2017-09-03 09:30:00,-561.295999999993,0.0,0.0
61,2017-09-03 09:45:00,197.7867199999946,0.0,0.0
62,2017-09-03 10:00:00,148.87316000000283,0.0,0.0
63,2017-09-03 10:15:00,-112.1599999999944,0.0,0.0
64,2017-09-03 10:30:00,467.0024000000012,0.0,0.0
65,2017-09-03 10:45:00,230.29647999999725,0.0,0.0
66,2017-09-04 02:30:00,-548.0041999999958,0.0,0.0
67,2017-09-04 02:45:00,272.4837600000046,0.0,0.0
68,2017-09-04 03:00:00,128.29999999999927,0.0,0.0
69,2017-09-04 03:15:00,-454.2414800000006,0.0,0.0
70,2017-09-04 05:00:00,222.78400000000147,0.0,0.0
71,2017-09-04 05:15:00,-192.51964000000044,0.0,0.0
72,2017-09-04 05:30:00,4504.2705600000045,0.0,0.0
73,2017-09-05 04:45:00,313.119999999999,0.0,0.0
74,2017-09-05 05:00:00,93.25200000000224,0.0,0.0
75,2017-09-05 05:15:00,483.2960000000003,0.0,0.0
76,2017-09-05 05:30:00,-546.0039999999935,0.0,0.0
77,2017-09-05 05:45:00,-200.2158000000054,0.0,0.0
78,2017-09-05 06:00:00,-203.98919999999637,0.0,0.0
79,2017-09-05 06:15:00,-15.764079999989915,0.0,0.0
80,2017-09-05 06:30:00,42.136359999994966,0.0,0.0
81,2017-09-05 06:45:00,-500.7400399999915,0.0,0.0
