,EntryTime,Yong,Yong_proto
0,2017-08-19 18:30:00,-42317.62187200004,0.0
546,2017-08-19 19:15:00,0.0,-446.2159999999994
547,2017-08-19 22:15:00,0.0,354.4120000000021
548,2017-08-19 22:30:00,0.0,49.16032000000087
549,2017-08-19 22:45:00,0.0,-142.41351999999551
550,2017-08-19 23:00:00,0.0,-219.1639999999961
551,2017-08-20 03:45:00,0.0,111.85484000000542
552,2017-08-20 04:00:00,0.0,-171.69388000000254
553,2017-08-20 04:15:00,0.0,-13.35603999999421
554,2017-08-20 04:30:00,0.0,109.5451600000024
555,2017-08-20 04:45:00,0.0,-142.20448000000033
556,2017-08-20 05:00:00,0.0,-168.45483999999942
557,2017-08-20 05:15:00,0.0,398.88432000000194
558,2017-08-20 05:30:00,0.0,-807.44956
559,2017-08-20 06:45:00,0.0,190.73396000000685
560,2017-08-20 08:00:00,0.0,-203.68312000000515
561,2017-08-20 08:15:00,0.0,-21.35799999999108
562,2017-08-20 08:30:00,0.0,-16.559919999999693
563,2017-08-20 08:45:00,0.0,173.4400800000003
564,2017-08-20 09:00:00,0.0,78.21607999999287
565,2017-08-21 01:30:00,0.0,-45.3460399999949
566,2017-08-21 01:45:00,0.0,377.5424000000021
567,2017-08-21 18:45:00,0.0,73.70000000000346
568,2017-08-21 19:00:00,0.0,-106.26399999999649
569,2017-08-21 19:15:00,0.0,-95.5999999999949
570,2017-08-21 19:30:00,0.0,-68.03171999999904
571,2017-08-21 19:45:00,0.0,234.64760000000297
572,2017-08-21 20:00:00,0.0,33.7480000000005
573,2017-08-21 20:15:00,0.0,503.8680000000022
574,2017-08-22 01:00:00,0.0,-156.02395999999771
575,2017-08-22 02:00:00,0.0,23.72003999999833
576,2017-08-22 02:15:00,0.0,-5.864039999992201
577,2017-08-22 02:30:00,0.0,232.34003999999916
578,2017-08-22 02:45:00,0.0,-90.16059999999923
579,2017-08-22 03:00:00,0.0,158.10972000000675
580,2017-08-22 03:15:00,0.0,-75.92063999999937
581,2017-08-22 03:30:00,0.0,-314.4446400000015
582,2017-08-22 03:45:00,0.0,-106.96403999999347
583,2017-08-22 05:15:00,0.0,-322.1003999999993
584,2017-08-22 06:45:00,0.0,149.77719999999863
585,2017-08-22 07:00:00,0.0,13.943599999997788
586,2017-08-22 07:15:00,0.0,4019.945640000001
587,2017-08-22 16:15:00,0.0,-615.1522399999976
588,2017-08-22 17:00:00,0.0,156.70768000000407
589,2017-08-22 17:15:00,0.0,-106.22355999999854
590,2017-08-22 17:30:00,0.0,345.44000000000324
591,2017-08-22 17:45:00,0.0,-416.81575999999495
592,2017-08-22 18:00:00,0.0,-641.2764800000014
593,2017-08-22 18:15:00,0.0,-142.32692000000043
594,2017-08-22 18:30:00,0.0,-88.87768000000051
595,2017-08-22 18:45:00,0.0,-293.50703999999496
596,2017-08-22 19:00:00,0.0,768.5817600000019
597,2017-08-22 19:15:00,0.0,-693.1045600000016
598,2017-08-22 19:30:00,0.0,-566.4756799999986
599,2017-08-22 22:00:00,0.0,-1832.8010399999996
1,2017-08-23 21:45:00,55255.49251500416,0.0
600,2017-08-28 16:45:00,0.0,-86.8196799999896
601,2017-08-28 17:00:00,0.0,201.95240000000013
602,2017-08-28 17:30:00,0.0,-266.9599999999991
603,2017-08-28 17:45:00,0.0,-2191.5599999999995
2,2017-09-02 16:15:00,-31428.00852799999,0.0
3,2017-09-03 02:30:00,3955.795638217573,0.0
604,2017-09-03 03:45:00,0.0,-234.78000000000063
605,2017-09-03 09:15:00,0.0,158.53332000000592
606,2017-09-03 09:30:00,0.0,-561.295999999993
607,2017-09-03 09:45:00,0.0,197.7867199999946
608,2017-09-03 10:00:00,0.0,148.87316000000283
609,2017-09-03 10:15:00,0.0,-112.1599999999944
610,2017-09-03 10:30:00,0.0,467.0024000000012
611,2017-09-03 10:45:00,0.0,230.29647999999725
612,2017-09-04 02:30:00,0.0,-548.0041999999958
613,2017-09-04 02:45:00,0.0,272.4837600000046
614,2017-09-04 03:00:00,0.0,128.29999999999927
615,2017-09-04 03:15:00,0.0,-454.2414800000006
616,2017-09-04 05:00:00,0.0,222.78400000000147
617,2017-09-04 05:15:00,0.0,-192.51964000000044
618,2017-09-04 05:30:00,0.0,4504.2705600000045
619,2017-09-05 04:45:00,0.0,313.119999999999
620,2017-09-05 05:00:00,0.0,93.25200000000224
621,2017-09-05 05:15:00,0.0,483.2960000000003
622,2017-09-05 05:30:00,0.0,-546.0039999999935
623,2017-09-05 05:45:00,0.0,-200.2158000000054
624,2017-09-05 06:00:00,0.0,-203.98919999999637
625,2017-09-05 06:15:00,0.0,-15.764079999989915
626,2017-09-05 06:30:00,0.0,42.136359999994966
627,2017-09-05 06:45:00,0.0,-500.7400399999915
628,2017-09-05 07:00:00,0.0,4241.366400000006
629,2017-09-05 14:15:00,0.0,272.7523999999994
630,2017-09-05 14:30:00,0.0,-2153.2921199999964
631,2017-09-05 17:00:00,0.0,-140.2599999999984
632,2017-09-05 17:15:00,0.0,356.6906000000017
633,2017-09-05 17:30:00,0.0,233.04000000000087
634,2017-09-05 17:45:00,0.0,-826.0601199999928
635,2017-09-05 22:00:00,0.0,-2136.2989200000084
4,2017-09-06 11:45:00,-11268.777059744283,0.0
5,2017-09-09 01:30:00,14774.629621623462,0.0
636,2017-09-09 08:30:00,0.0,253.37999999999735
637,2017-09-09 08:45:00,0.0,184.0882800000054
638,2017-09-09 09:00:00,0.0,-710.031199999994
639,2017-09-09 14:45:00,0.0,-296.6083600000002
640,2017-09-09 15:00:00,0.0,378.6799599999995
