EntryTime,PnL
2017-12-04 06:30:00,-46448.09107999988
2017-12-04 07:45:00,166282.4114367567
2017-12-08 14:45:00,-14771.43599999999
2017-12-08 20:45:00,-9610.92704894066
2017-12-10 03:45:00,-19743.353616
2017-12-10 08:00:00,-23441.21740799991
2017-12-11 02:15:00,-24238.88087999996
2017-12-11 06:30:00,45291.53083985689
2017-12-13 01:00:00,-39857.85484800002
2017-12-13 14:00:00,-29371.55104800003
2017-12-15 13:15:00,75111.95272757164
2017-12-18 04:15:00,-53890.473478091364
2017-12-18 11:45:00,-24092.52854399997
2017-12-19 00:30:00,-35019.97430399984
2017-12-19 21:45:00,81805.2664968088
2017-12-26 17:00:00,6370.640753101978
2017-12-28 00:00:00,-37094.37599999996
2017-12-28 03:30:00,29721.560460488363
2018-01-03 06:30:00,-15888.33008169832
2018-01-04 20:30:00,-43546.23000000003
2018-01-05 13:15:00,61892.21563621973
2018-01-08 04:30:00,86807.63449231288
2018-01-14 00:00:00,-57165.782183999916
2018-01-14 16:00:00,-20275.24377448405
2018-01-16 00:45:00,-43578.742031999995
2018-01-16 12:15:00,57050.6813100244
2018-01-18 23:15:00,-21133.77839999998
2018-01-19 10:45:00,-23188.361280000026
2018-01-19 23:00:00,17638.50963552061
2018-01-21 17:30:00,22533.011444153362
2018-01-25 00:15:00,-24088.749721147346
2018-01-26 21:00:00,-36837.20249999996
2018-01-27 00:30:00,-36354.026015999974
2018-01-31 02:15:00,103696.6164038895
2018-02-03 01:15:00,-21146.624855999944
2018-02-04 00:45:00,-34502.52959999992
2018-02-04 23:00:00,81432.19616716578
2018-02-07 07:45:00,40777.40471822421
2018-02-11 02:45:00,-35601.04127999995
2018-02-11 15:00:00,-37558.07999999998
2018-02-12 14:30:00,102832.35746405239
2018-02-15 19:30:00,121681.09890768539
2018-02-18 14:15:00,-46220.25624000016
2018-02-18 19:45:00,-38069.534747999816
2018-02-19 06:15:00,44943.595489075466
2018-02-21 08:15:00,-59384.75961600007
2018-02-21 14:30:00,31602.181825599328
2018-02-24 00:30:00,-47391.181489648545
2018-02-24 21:45:00,-8183.691303645661
2018-02-27 01:45:00,27293.366131068673
2018-02-28 18:15:00,67914.81879399615
2018-03-07 09:00:00,171740.8178776205
2018-03-12 00:30:00,3477.9222594826933
2018-03-13 03:30:00,66022.07595260076
2018-03-17 02:30:00,-55451.36620799988
2018-03-17 12:30:00,17112.52811633843
2018-03-19 10:30:00,45227.6823090869
2018-03-22 21:45:00,-8510.612966324821
2018-03-24 11:30:00,-56726.63359127825
2018-03-25 11:00:00,236410.65184354008
2018-04-02 05:00:00,-44520.946176000056
2018-04-03 16:15:00,-37298.53677829424
2018-04-04 22:15:00,61265.78015817475
2018-04-09 23:00:00,-40305.79990859928
2018-04-12 23:45:00,52576.12813024069
2018-04-16 11:45:00,-53496.55794613901
2018-04-21 18:00:00,77211.31118969728
2018-04-25 14:15:00,-43271.28257600005
2018-04-26 01:00:00,-27729.091126388703
2018-04-27 09:45:00,-35577.487853883475
2018-04-28 07:45:00,-53417.99573373642
2018-04-29 01:45:00,-24040.8690783251
2018-05-01 12:15:00,-46420.57424111638
2018-05-11 19:30:00,11997.766557102941
2018-05-14 15:45:00,-68096.44620299245
2018-05-15 02:30:00,-43501.397396783024
2018-05-16 05:15:00,34550.461185108
2018-05-24 04:45:00,43806.305015049446
2018-06-11 05:45:00,31105.3752842806
2018-06-15 06:15:00,-56959.48470100195
2018-06-23 00:30:00,21226.205236231835
2018-06-25 05:15:00,-23576.92336787573
2018-06-30 12:45:00,25636.785912507174
2018-07-18 06:00:00,-6483.780780855696
2018-08-01 01:00:00,105964.59775616435
2018-08-08 10:45:00,30217.76384740207
2018-08-09 23:00:00,19633.140855110163
2018-08-13 04:45:00,-9281.816640178911
2018-08-14 04:30:00,-9922.734950941544
2018-08-15 14:45:00,4315.723793320685
2018-08-22 13:30:00,-54330.12277494176
2018-08-23 07:30:00,-39942.227069184984
2018-09-06 12:15:00,22602.8812472121
2018-09-20 07:30:00,53411.8813745383
2018-10-15 17:30:00,-19286.353300112532
2018-11-15 06:15:00,12352.956256671634
2018-11-19 19:30:00,245412.67210052614
2018-11-26 05:45:00,-142.85031538464
2018-11-28 16:30:00,2715.5916869845896
2018-11-30 22:45:00,-17140.893181750478
2018-12-01 23:00:00,-34596.41296492739
2018-12-03 14:00:00,8734.996421925403
2018-12-04 16:00:00,138810.10230692537
2018-12-08 04:30:00,-13835.754982990715
2018-12-09 10:45:00,-36447.26536194348
2018-12-10 03:30:00,-58494.307743999976
2018-12-11 02:00:00,-4083.999611688556
2018-12-13 02:30:00,-50481.825427268224
2018-12-14 08:15:00,5537.828648845189
2018-12-18 00:30:00,107509.31473394271
2018-12-20 07:00:00,90289.21949351767
2018-12-25 05:15:00,-60004.25589870077
2018-12-25 14:00:00,24784.32344528876
2018-12-29 05:00:00,-31856.926443550106
2018-12-30 12:15:00,-57487.88311835743
2018-12-30 21:15:00,-46668.00051403506
2019-01-10 19:45:00,82402.4707235368
2019-02-09 05:15:00,-23841.40924225019
2019-02-19 04:45:00,75021.25409378539
2019-02-25 02:45:00,-19567.330837380243
2019-04-02 17:15:00,50001.04667340022
2019-04-04 07:45:00,-2657.404493831609
2019-04-07 06:15:00,44739.242573659016
2019-04-11 05:45:00,-48781.886415832334
2019-04-11 22:15:00,-23442.318405591894
2019-04-24 21:30:00,-26595.100653846624
2019-04-26 12:00:00,13883.968146442694
2019-05-03 20:15:00,-15508.74231739266
2019-05-07 23:30:00,-34409.00186137163
2019-05-08 09:45:00,303050.9640112707
2019-05-13 00:00:00,69996.46774212967
2019-05-15 04:45:00,11092.327268194163
2019-05-16 20:30:00,-50960.46551599989
2019-05-17 16:15:00,-23431.82718935774
